Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2024-02-12 14:48:04,"lower",1h 9m,"Lying Leg Curl (Machine)",1,38.0,6.0,0,0.0,"",,
2024-02-12 14:48:04,"lower",1h 9m,"Lying Leg Curl (Machine)",2,36.0,8.0,0,0.0,,,
2024-02-12 14:48:04,"lower",1h 9m,"Lying Leg Curl (Machine)",3,34.0,9.0,0,0.0,,,
2024-02-13 14:13:49,"upper",1h 17m,"Lat Pulldown (Cable)",1,55.5,9.0,0,0.0,"","",
2024-02-13 14:13:49,"upper",1h 17m,"Lat Pulldown (Cable)",2,55.0,9.0,0,0.0,,,
2024-02-13 14:13:49,"upper",1h 17m,"Lat Pulldown (Cable)",3,55.0,8.0,0,0.0,,,
2024-02-13 14:13:49,"upper",1h 17m,"Lat Pulldown (Cable)",4,55.0,7.0,0,0.0,,,
2024-02-13 14:13:49,"upper",1h 17m,"Bench Press (Barbell)",1,25.0,10.0,0,0.0,"",,
2024-02-13 14:13:49,"upper",1h 17m,"Bench Press (Barbell)",2,25.0,7.0,0,0.0,,,
2024-02-13 14:13:49,"upper",1h 17m,"Bench Press (Barbell)",3,25.0,7.0,0,0.0,,,
2024-02-13 14:13:49,"upper",1h 17m,"Bench Press (Barbell)",4,25.0,6.0,0,0.0,,,
2024-02-13 14:13:49,"upper",1h 17m,"Seated Row (Cable)",1,42.0,12.0,0,0.0,"Rough 2",,
2024-02-13 14:13:49,"upper",1h 17m,"Seated Row (Cable)",2,43.0,10.0,0,0.0,,,
2024-02-13 14:13:49,"upper",1h 17m,"Seated Row (Cable)",3,43.0,9.0,0,0.0,,,
2024-02-13 14:13:49,"upper",1h 17m,"Seated Row (Cable)",4,43.0,9.0,0,0.0,,,
2024-02-13 14:13:49,"upper",1h 17m,"Lateral Raise (Cable)",1,4.4,10.0,0,0.0,"",,
2024-02-13 14:13:49,"upper",1h 17m,"Lateral Raise (Cable)",2,4.4,10.0,0,0.0,,,
2024-02-13 14:13:49,"upper",1h 17m,"Lateral Raise (Cable)",3,4.4,10.0,0,0.0,,,
2024-02-13 14:13:49,"upper",1h 17m,"Lateral Raise (Cable)",4,4.4,10.0,0,0.0,,,
2024-02-13 14:13:49,"upper",1h 17m,"Lateral Raise (Cable)",5,4.4,10.0,0,0.0,,,
2024-02-14 13:59:55,"arms",42m,"Bicep Curl (Barbell)",1,8.0,9.0,0,0.0,"","",
2024-02-14 13:59:55,"arms",42m,"Bicep Curl (Barbell)",2,8.0,8.0,0,0.0,,,
2024-02-14 13:59:55,"arms",42m,"Bicep Curl (Barbell)",3,8.0,9.0,0,0.0,,,
2024-02-14 13:59:55,"arms",42m,"Bicep Curl (Barbell)",4,8.0,8.0,0,0.0,,,
2024-02-14 13:59:55,"arms",42m,"Bicep Curl (Barbell)",5,5.5,9.0,0,0.0,,,
2024-02-14 13:59:55,"arms",42m,"Bicep Curl (Barbell)",6,5.5,10.0,0,0.0,,,
2024-02-14 13:59:55,"arms",42m,"Triceps Pushdown (Cable - Straight Bar)",1,21.0,13.0,0,0.0,"Myo-reps",,
2024-02-14 13:59:55,"arms",42m,"Triceps Pushdown (Cable - Straight Bar)",2,22.0,8.0,0,0.0,,,
2024-02-14 13:59:55,"arms",42m,"Triceps Pushdown (Cable - Straight Bar)",3,22.0,7.0,0,0.0,,,
2024-02-14 13:59:55,"arms",42m,"Triceps Pushdown (Cable - Straight Bar)",4,21.0,8.0,0,0.0,,,
2024-02-14 13:59:55,"arms",42m,"Triceps Pushdown (Cable - Straight Bar)",5,21.0,6.0,0,0.0,,,
2024-02-16 13:45:29,"upper",1h 20m,"Lat Pulldown (Cable)",1,55.0,9.0,0,0.0,"","",
2024-02-16 13:45:29,"upper",1h 20m,"Lat Pulldown (Cable)",2,55.0,8.0,0,0.0,,,
2024-02-16 13:45:29,"upper",1h 20m,"Lat Pulldown (Cable)",3,55.0,8.0,0,0.0,,,
2024-02-16 13:45:29,"upper",1h 20m,"Lat Pulldown (Cable)",4,55.0,7.0,0,0.0,,,
2024-02-16 13:45:29,"upper",1h 20m,"Bench Press (Barbell)",1,25.5,9.0,0,0.0,"",,
2024-02-16 13:45:29,"upper",1h 20m,"Bench Press (Barbell)",2,25.5,8.0,0,0.0,,,
2024-02-16 13:45:29,"upper",1h 20m,"Bench Press (Barbell)",3,25.5,8.0,0,0.0,,,
2024-02-16 13:45:29,"upper",1h 20m,"Bench Press (Barbell)",4,25.5,6.0,0,0.0,,,
2024-02-16 13:45:29,"upper",1h 20m,"Seated Row (Cable)",1,43.0,10.0,0,0.0,"",,
